,genres,tmdbId,overview,tagline,title,keywords,cast,movieId,director
10,"['Comedy', 'Drama', 'Romance']",9087,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",Why can't the most powerful man in the world have the one thing he wants most?,The American President,"['white house', 'usa president', 'new love', 'widower', 'wildlife conservation']","['Michael Douglas', 'Annette Bening', 'Michael J. Fox', 'Martin Sheen', 'Anna Deavere Smith', 'Shawna Waldron', 'Samantha Mathis', 'David Paymer', 'Richard Dreyfuss', 'Nina Siemaszko', 'Wendie Malick', 'Beau Billingslea', 'Gail Strickland', 'Joshua Malina', 'Clement von Franckenstein', 'John Mahoney', 'John Mahon', 'Gabriel Jarret']",11,Rob Reiner
11,"['Comedy', 'Horror']",12110,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",,Dracula: Dead and Loving It,"['dracula', 'spoof']","['Leslie Nielsen', 'Mel Brooks', 'Amy Yasbeck', 'Peter MacNicol', 'Lysette Anthony', 'Harvey Korman', 'Steven Weber', 'Mark Blankfield', 'Megan Cavanagh', 'Gregg Binkley', 'Anne Bancroft']",12,Mel Brooks
12,"['Family', 'Animation', 'Adventure']",21032,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",Part Dog. Part Wolf. All Hero.,Balto,"['wolf', 'dog-sledding race', 'alaska', 'dog', 'goose', 'bear attack', 'dog sled', 'frozen lake']","['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda', 'Jim Cummings', 'Phil Collins', 'Juliette Brewer', 'Jack Angel', 'Danny Mann', 'Robbie Rist', 'Sandra Dickinson', 'Frank Welker', 'Miriam Margolyes', 'Lola Bates-Campbell']",13,Simon Wells
13,"['History', 'Drama']",10858,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.","Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",Nixon,"['usa president', 'presidential election', 'watergate scandal', 'biography', 'government', 'historical figure']","['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris', 'Bob Hoskins', 'E.G. Marshall', 'David Paymer', 'David Hyde Pierce', 'Paul Sorvino', 'Mary Steenburgen', 'J.T. Walsh', 'James Woods', 'Brian Bedford', 'Kevin Dunn', 'Fyvush Finkel', 'Annabeth Gish', 'Larry Hagman', 'Madeline Kahn', 'Dan Hedaya', 'Bridgette Wilson', 'Tom Bower', 'Tony Goldwyn', 'Edward Herrmann', 'Tony Lo Bianco', 'Saul Rubinek', 'Robert Beltran', 'John Cunningham', 'John Diehl', 'John C. McGinley', 'Michael Chiklis', 'Ric Young', 'Boris Sichkin', 'Sam Waterston', 'Marley Shelton']",14,Oliver Stone
14,"['Action', 'Adventure']",1408,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,Cutthroat Island,"['exotic island', 'treasure', 'map', 'ship', 'scalp', 'pirate']","['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide', 'Stan Shaw', 'Rex Linn', 'Paul Dillon', 'Christopher Masterson', 'Jimmie F. Skaggs', 'Harris Yulin', 'Carl Chase', 'Peter Geeves', 'Angus Wright', 'Ken Bones', 'Mary Peach', 'Thomas Lockyer', 'Roger Booth', 'George Murcell', 'Simon Atherton', 'Dickey Beer', 'Christopher Halliday', 'Chris Johnston', 'Richard Leaf', 'Tam White', 'Rupert Vansittart', 'Nick Bartlett', 'David Bailie', 'Kwame Kwei-Armah', 'Ramon Tikaram', 'Christopher Adamson']",15,Renny Harlin
15,"['Drama', 'Crime']",524,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,No one stays at the top forever.,Casino,"['poker', 'drug abuse', '1970s', 'overdose', 'illegal prostitution']","['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles', 'Alan King', 'Kevin Pollak', 'Pasquale Cajano', 'L.Q. Jones', 'Dick Smothers', 'Frank Vincent', 'Oscar Goodman', 'Richard Riehle', 'Catherine Scorsese', 'Vinny Vella', 'Nobu Matsuhisa', 'Erika von Tagen', 'Nick Mazzola', 'David Rose', 'John Bloom', 'Joseph Rigano', 'Philip Suriano', 'Melissa Prophet', 'Bill Allison', 'Joe La Due', 'Joseph P. Reidy', 'Craig Vincent', 'Carl Ciarfalio', 'Gene Ruffini', 'Dominick Grieco', 'Clem Caserta', 'Daniel P. Conte', 'Joey DePinto', 'Jack Orend', 'Paul Herman', 'Jed Mills', 'Claudia Haro', 'Ffolliott Le Coque', 'John Manca', 'Ronald Maccone', 'Joseph Bono', 'Frank Adonis', 'Anthony Russell', 'Stuart Nisbet', 'Alfred Nittoli']",16,Martin Scorsese
16,"['Drama', 'Romance']",4584,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",Lose your heart and come to your senses.,Sense and Sensibility,"['bowling', 'based on novel', 'servant', 'country life', 'jane austen', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'horse and carriage', 'decorum']","['Kate Winslet', 'Emma Thompson', 'Hugh Grant', 'Tom Wilkinson', 'Alan Rickman', 'Imogen Stubbs', 'Greg Wise', 'Hugh Laurie', 'Imelda Staunton', 'Robert Hardy', 'Oliver Ford Davies', 'James Fleet', 'Harriet Walter', 'Gemma Jones', 'Emilie François', 'Elizabeth Spriggs', 'Richard Lumsden']",17,Ang Lee
17,"['Crime', 'Comedy']",5,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Four Rooms,"['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director', 'episode film']","['Tim Roth', 'Antonio Banderas', 'Jennifer Beals', 'Madonna', 'Marisa Tomei', 'Bruce Willis', 'Quentin Tarantino', 'Sammi Davis', 'Amanda de Cadenet', 'Valeria Golino', 'Lili Taylor', 'Lawrence Bender', 'Ione Skye', 'Alicia Witt', 'David Proval', 'Lana McKissack', 'Tamlyn Tomita', 'Kathy Griffin', 'Paul Calderon', 'Salma Hayek', 'Patricia Vonne', 'Danny Verduzco', 'Kimberly Blair', 'Marc Lawrence']",18,Allison Anders
18,"['Crime', 'Comedy', 'Adventure']",9273,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",New animals. New adventures. Same hair.,Ace Ventura: When Nature Calls,"['africa', 'indigenous', 'human animal relationship', 'bat']","['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi', 'Bob Gunton', 'Sophie Okonedo', 'Tommy Davidson', 'Adewale Akinnuoye-Agbaje', 'Danny D. Daniels', 'Sam Motoana Phillips', 'Damon Standifer', 'Andrew Steel', 'Bruce Spence', 'Tom Grunke', ""Arsenio 'Sonny' Trinidad""]",19,Steve Oedekerk
19,"['Action', 'Comedy', 'Crime']",11517,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","Get on, or GET OUT THE WAY!",Money Train,"['brother brother relationship', 'subway', 'new york city', 'new york subway', 'train robbery']","['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake', 'Chris Cooper', 'Joe Grifasi', 'Scott Sowers', 'Skipp Sudduth', 'Aida Turturro', 'Vincent Pastore', 'Enrico Colantoni', 'Bill Nunn', 'Katie Gill', 'Jeremy Roberts', 'Joe Bacino']",20,Joseph Ruben
20,"['Comedy', 'Thriller', 'Crime']",8012,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","The mob is tough, but it’s nothing like show business.",Get Shorty,"['gambling', 'miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con']","['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina', 'Delroy Lindo', 'James Gandolfini', 'Jon Gries', 'Renee Props', 'David Paymer', 'Martin Ferrero', 'Miguel Sandoval', 'Jacob Vargas', 'Bobby Slayton', 'Linda Hart', 'Jeffrey J. Stephen']",21,Barry Sonnenfeld
21,"['Drama', 'Thriller']",1710,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.",Copycat,"['police brutality', 'psychology', 'police operation', 'police protection', 'serial killer', 'psychologist', 'cowardliness']","['Sigourney Weaver', 'Holly Hunter', 'Will Patton', 'William McNamara', 'Harry Connick Jr.', 'J.E. Freeman', 'Dermot Mulroney', 'John Rothman', ""Shannon O'Hurley"", 'Bob Greene', 'Tony Haney', 'Danny Kovacs', 'Tahmus Rounds', 'Scott Devenney', 'David Michael Silverman']",22,Jon Amiel
22,"['Action', 'Adventure', 'Crime', 'Thriller']",9691,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","In the shadows of life, In the business of death, One man found a reason to live...",Assassins,"['competition', 'assassination', 'cia', 'bank', 'cat', 'mexican standoff', 'seattle', 'hitman', 'mission of murder', 'hidden camera', 'rivalry', 'rescue', 'shootout', 'police chase', 'sniper rifle', 'silencer', 'double cross', 'caribbean', 'detroit michigan']","['Sylvester Stallone', 'Antonio Banderas', 'Julianne Moore', 'Anatoli Davydov', 'Muse Watson', 'Steve Kahan', 'Kelly Rowan', 'Reed Diamond', 'Kai Wulff', 'Kerry Skalsky', 'James Douglas Haskins', 'Stephen Liska', 'John Harms', 'Edward J. Rosen', 'Christina Orchid', 'Choco Orta', 'Germán Legarreta']",23,Richard Donner
23,"['Drama', 'Fantasy', 'Science Fiction', 'Thriller']",12665,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",An extraordinary encounter with another human being.,Powder,"['dead animal', 'shot to death', 'teenage boy', 'held at gunpoint', 'teacher student relationship', 'albino', 'fainting', 'jacobs ladder', 'christ allegory', 'psionic power', 'healing power', 'looking pale', 'flickering light', 'extrasensory perception']","['Mary Steenburgen', 'Sean Patrick Flanery', 'Lance Henriksen', 'Jeff Goldblum', 'Brandon Smith']",24,Victor Salva
24,"['Drama', 'Romance']",451,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",I Love You... The Way You Are.,Leaving Las Vegas,"['individual', 'prostitute', 'alcohol', 'casino', 'love at first sight', 'lovesickness', 'film producer', 'screenwriter', 'hotel room', 'dying and death', 'rage and hate', 'unsociability', 'alcoholism', 'los angeles', 'alcohol abuse', 'attempted suicide']","['Nicolas Cage', 'Elisabeth Shue', 'Julian Sands', 'Richard Lewis', 'Steven Weber', 'Kim Adams', 'Emily Procter', 'Stuart Reynolds ', 'Valeria Golino', 'Graham Beckel', 'Mariska Hargitay', 'Laurie Metcalf', 'Shawnee Smith', 'David Kriegel']",25,Mike Figgis
25,['Drama'],16420,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,"Envy, greed, jealousy and love.",Othello,"['shakespeare', 'jealousy', 'friends', 'moor']","['Laurence Fishburne', 'Irène Jacob', 'Kenneth Branagh', 'Nathaniel Parker', 'Indra Ové', 'Michael Maloney', 'Anna Patrick', 'Nicholas Farrell', 'Michael Sheen']",26,Oliver Parker
26,"['Comedy', 'Drama', 'Family']",9263,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",In every woman there is the girl she left behind.,Now and Then,"['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare', 'woman director']","['Christina Ricci', ""Rosie O'Donnell"", 'Thora Birch', 'Melanie Griffith', 'Gaby Hoffmann', 'Demi Moore', 'Ashleigh Aston Moore', 'Rita Wilson', 'Walter Sparrow', 'Devon Sawa', 'Cloris Leachman', 'Janeane Garofalo', 'Hank Azaria', 'Bonnie Hunt', 'Lolita Davidovich', 'Brendan Fraser']",27,Lesli Linka Glatter
27,"['Drama', 'Romance']",17015,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",,Persuasion,"['captain', 'napoleonic wars', 'old flame', 'admiral']","['Amanda Root', 'Ciarán Hinds', 'Susan Fleetwood', 'Fiona Shaw', 'John Woodvine', 'Phoebe Nicholls', 'Samuel West', 'Sophie Thompson', 'Judy Cornwell', 'Simon Russell Beale', 'Felicity Dean', 'Roger Hammond', 'Victoria Hamilton', 'Corin Redgrave', 'Emma Roberts', 'Robert Glenister', 'Richard McCabe', 'Helen Schlesinger', 'Jane Wood', 'David Collings', 'Darlene Johnson', 'Cinnamon Faye', 'Isaac Maxwell-Hunt', 'Roger Llewellyn', 'Sally George', 'Lonnie James']",28,Roger Michell
28,"['Fantasy', 'Science Fiction', 'Adventure']",902,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",Where happily ever after is just a dream.,The City of Lost Children,"['clone', 'dream', 'island', 'eye', 'dystopia', 'aging', 'friendship', 'rescue', 'children', 'girl', 'childhood']","['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork', 'Jean-Claude Dreyfus', 'Geneviève Brunet', 'Odile Mallet', 'Mireille Mossé', 'Serge Merlin', 'Rufus', 'Ticky Holgado', 'Cris Huerta', 'Jean-Louis Trintignant', 'Joseph Lucien', 'Mapi Galán', 'Briac Barthélémy', 'Pierre-Quentin Faesch', 'Alexis Pivot', 'François Hadji-Lazaro', 'Dominique Bettenfeld', 'Lotfi Yahya Jedidi', 'Thierry Gibault', 'Marc Caro', 'Ham-Chau Luong', 'Frankie Pain', 'Enrique Villanueva', 'Dominique Chevalier', 'Lorella Cravotta', 'Éric Houzelot', 'Philippe Beautier', 'Marc Amyot', 'Jean-Philippe Labadie', 'Raphaèle Bouchard', 'Elisabeth Etienne', 'Rachel Boulenger', 'Michel Motu', 'Nane Germon']",29,Jean-Pierre Jeunet
29,"['Drama', 'Crime']",37557,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,In 1930's Shanghai violence was not the problem. It was the solution.,Shanghai Triad,"['servant', 'cabaret', 'shanghai', 'diva', 'uncle', 'mistress', 'umbrella']","['Gong Li', 'Li Bao-Tian', 'Wang Xiaoxiao', 'Li Xuejian', 'Chun Sung', 'Fu Biao']",30,Zhang Yimou
30,"['Drama', 'Crime']",9909,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",She broke the rules... and changed their lives.,Dangerous Minds,"['rap music', 'karate', 'high school', 'naval officer', 'teacher', 'amusement park']","['Michelle Pfeiffer', 'George Dzundza', 'Courtney B. Vance', 'Robin Bartlett', 'John Neville', 'Beatrice Winde', 'Lorraine Toussaint', 'Renoly Santiago', 'Wade Dominguez', 'Bruklin Harris', 'Mercello Thedford', 'Roberto Alvarez', 'Richard Grant', 'Marisela Gonzales', 'Toni Nichelle Buzhardt']",31,John N. Smith
